Date;Ouverture;Haut;Bas;Clôture;Changement, %
2013-01-02;841;841;810;811;0.00
2013-01-03;813.75;819;809.5;811.25;+0.03
2013-01-04;812.25;815.25;796.75;804.5;-0.83
2013-01-07;806.75;816.5;801.5;807.5;+0.37
2013-01-08;807.5;817;806.75;808.75;+0.15
2013-01-09;810.75;813.25;800;801.25;-0.93
2013-01-10;803.25;809.25;795.25;796.5;-0.59
2013-01-11;798.75;819.75;785.25;807;+1.32
2013-01-14;813;830;813;823.5;+2.04
2013-01-15;825.5;844.75;823;838.25;+1.79
2013-01-16;838.5;848;834.25;842.5;+0.51
2013-01-17;843.75;846.75;831.75;837;-0.65
2013-01-18;838.25;847;832;843.75;+0.81
2013-01-22;847.25;852;830;830.75;-1.54
2013-01-23;830.75;839.25;825.25;830.25;-0.06
2013-01-24;830.75;830.75;816.75;821.5;-1.05
2013-01-25;821.75;835.25;817.25;829.5;+0.97
2013-01-28;830.25;835.25;824.75;832.75;+0.39
2013-01-29;832.5;840;830;830.75;-0.24
2013-01-30;830;842;825.5;840.75;+1.20
2013-01-31;840.5;844.25;829.75;837.75;-0.36
2013-02-01;837.75;847.25;821;822;-1.88
2013-02-04;825.5;829.75;813.25;817;-0.61
2013-02-05;817.25;819.75;801.25;807.25;-1.19
2013-02-06;807;814.25;797.75;809.75;+0.31
2013-02-07;809.75;812.75;800;801;-1.08
2013-02-08;801;815.75;796.75;799.75;-0.16
2013-02-11;801.25;803.5;788;788.75;-1.38
2013-02-12;790.25;793;774;778;-1.36
2013-02-13;778.5;784;770.25;780.25;+0.29
2013-02-14;782.75;786;769.75;775;-0.67
2013-02-15;775;786;771.25;777.5;+0.32
2013-02-19;781.5;782.75;762.75;769;-1.09
2013-02-20;769;778;765.75;777.25;+1.07
2013-02-21;776.75;776.75;756.5;757.25;-2.57
2013-02-22;759;763.5;748.75;749.75;-0.99
2013-02-25;749.75;752.25;731;731.5;-2.43
2013-02-26;732.25;735.25;724.5;732.75;+0.17
2013-02-27;733.25;744;732.5;734.25;+0.20
2013-02-28;738.25;749.75;737.75;747;+1.74
2013-03-01;749.25;760.5;742.75;756;+1.20
2013-03-04;752.25;752.25;736.5;737;-2.51
2013-03-05;733.5;738;733.5;736.25;-0.10
2013-03-06;727;736.5;727;729.5;-0.92
2013-03-07;740.75;740.75;730;740;+1.44
2013-03-08;743.25;743.25;737;738.25;-0.24
2013-03-11;740;740;738.25;738.25;0.00
2013-03-12;742;757.5;735;735;-0.44
2013-03-13;729.25;729.25;729.25;729.25;-0.78
2013-03-14;727.5;842.5;727.5;742.75;+1.85
2013-03-15;751.75;752.25;745.5;751.5;+1.18
2013-03-18;749.5;751.25;738;744.25;-0.96
2013-03-19;742.5;753;742.5;751.75;+1.01
2013-03-20;751.5;767.75;750.5;766.25;+1.93
2013-03-21;766.25;767.25;758.25;760.5;-0.75
2013-03-22;760.5;763;748.25;761.5;+0.13
2013-03-25;761;763;755.5;759;-0.33
2013-03-26;758.5;769;756.25;768.5;+1.25
2013-03-27;767.75;778.5;764.25;774;+0.72
2013-03-28;773.5;778.75;723.25;726.75;-6.10
2013-04-01;726.25;729;704.5;709.75;-2.34
2013-04-02;714;717.25;709;716.75;+0.99
2013-04-03;718;737.5;714.5;735.25;+2.58
2013-04-04;736.75;743.5;718.25;721.75;-1.84
