"Date";"Ouverture";"Haut";"Bas";"Clôture";"Changement, %"
"2024-09-16";"7683.67";"7839.64";"7545.83";"7770.46";"0.00"
"2024-09-17";"7770.2";"7770.5";"7475.75";"7637.17";"-1.72"
"2024-09-18";"7637.17";"7840.56";"7593.51";"7779.53";"+1.86"
"2024-09-19";"7779.53";"7905.13";"7718.35";"7738.35";"-0.53"
"2024-09-20";"7738.35";"7800.22";"7607.91";"7679.43";"-0.76"
"2024-09-23";"7573.39";"7948.07";"7573.39";"7774.11";"+1.23"
"2024-09-24";"7774.34";"7927.69";"7687.98";"7867.39";"+1.20"
"2024-09-25";"7867.17";"8044.56";"7807.03";"7975.82";"+1.38"
"2024-09-26";"7975.6";"8777.75";"7975.59";"8092.76";"+1.47"
"2024-09-27";"8092.76";"8365.66";"8030.45";"8289.17";"+2.43"
"2024-09-30";"8280.51";"8280.51";"7677.81";"7720.85";"-6.86"
"2024-10-01";"7720.85";"7825.39";"7006.56";"7094.47";"-8.11"
"2024-10-02";"7094.35";"7329.71";"6928.77";"7022.42";"-1.02"
"2024-10-03";"7022.42";"7183.47";"6895.5";"7167.56";"+2.07"
"2024-10-04";"7170.67";"7170.67";"6853.43";"7055.36";"-1.57"
"2024-10-07";"7065.25";"7065.35";"6859.59";"6971.59";"-1.19"
"2024-10-08";"6971.7";"7230.95";"6952.96";"7083.55";"+1.61"
"2024-10-09";"7083.28";"7437.02";"7083.14";"7381.35";"+4.20"
"2024-10-10";"7381.19";"7555.65";"7140.4";"7504.47";"+1.67"
"2024-10-11";"7504.49";"7851.13";"7504.31";"7756.28";"+3.36"
"2024-10-14";"7760.73";"7807.88";"7557.1";"7619.8";"-1.76"
"2024-10-15";"7619.8";"8017.98";"7501.51";"7998.68";"+4.97"
"2024-10-16";"7998.74";"8161.68";"7653.29";"7678.87";"-4.00"
"2024-10-17";"7678.64";"7913";"7491.04";"7685.37";"+0.08"
"2024-10-18";"7685.37";"7850.78";"7403.13";"7427.33";"-3.36"
"2024-10-21";"7432.28";"7634.15";"7313.68";"7384.66";"-0.57"
"2024-10-22";"7384.46";"7400.88";"7017.32";"7176.34";"-2.82"
"2024-10-23";"7176.29";"7216.91";"6928.33";"6969.25";"-2.89"
"2024-10-24";"6969.08";"6999.31";"6717.3";"6732.39";"-3.40"
"2024-10-25";"6732.39";"6914.59";"6427.49";"6788.16";"+0.83"
"2024-10-28";"6795.75";"6968.97";"6719.25";"6892.04";"+1.53"
"2024-10-29";"6892.27";"7326.41";"6892.08";"7210.45";"+4.62"
"2024-10-30";"7210.27";"7403.05";"7069.57";"7349.56";"+1.93"
"2024-10-31";"7349.56";"7447.5";"7204.93";"7332.5";"-0.23"
"2024-11-01";"7332.5";"7489.19";"7250.67";"7295.28";"-0.51"
"2024-11-04";"7295.41";"7511.42";"7120.58";"7337.15";"+0.57"
"2024-11-05";"7337.04";"7412.06";"7156.51";"7220.38";"-1.59"
"2024-11-06";"7220.23";"7220.45";"6891.99";"6943.48";"-3.83"
"2024-11-07";"6943.13";"7382.23";"6937.33";"7265.35";"+4.64"
"2024-11-08";"7265.41";"7444.4";"7058.44";"7118.63";"-2.02"
"2024-11-11";"7133.55";"7391.29";"7049.35";"7364.99";"+3.46"
"2024-11-12";"7364.82";"7949.5";"7310.05";"7910.54";"+7.41"
"2024-11-13";"7909.63";"8445.55";"7876.89";"8090.94";"+2.28"
"2024-11-14";"8090.91";"8814.2";"8090.58";"8760.33";"+8.27"
"2024-11-15";"8776.46";"8891.18";"8529.96";"8613.7";"-1.67"
"2024-11-18";"8611.25";"8614.67";"8223.09";"8365.07";"-2.89"
"2024-11-19";"8365.06";"8399.26";"8246.86";"8391.26";"+0.31"
"2024-11-21";"8375.68";"8665.21";"8314.07";"8496.79";"+1.26"
"2024-11-22";"8496.79";"9100.64";"8496.79";"8707.46";"+2.48"
"2024-11-25";"8807.56";"8948.57";"8639.32";"8720.91";"+0.15"
"2024-11-26";"8721";"9024.44";"8602.86";"8927.56";"+2.37"
"2024-11-27";"8927.19";"9064.86";"8799.59";"8881.4";"-0.52"
"2024-11-28";"8881.4";"8881.46";"8881.14";"8881.22";"0.00"
"2024-11-29";"8937.79";"9261.44";"8931.48";"9097.54";"+2.44"
"2024-12-02";"9170.86";"9315.97";"9050.44";"9175.33";"+0.86"
"2024-12-03";"9175.33";"9249.44";"8628.87";"8809.41";"-3.99"
"2024-12-04";"8809.41";"9201.11";"8764.28";"9161.84";"+4.00"
"2024-12-05";"9161.84";"9728.97";"9161.84";"9593.71";"+4.71"
"2024-12-06";"9593.71";"9877.11";"9538.45";"9622.9";"+0.30"
"2024-12-09";"9623.92";"10194.83";"9551.75";"9938.9";"+3.28"
"2024-12-10";"9938.9";"10431.76";"9938.9";"10431.53";"+4.96"
"2024-12-11";"10431.12";"10431.66";"10001.59";"10251.8";"-1.72"
"2024-12-12";"10251.49";"10645.45";"10158.32";"10539.02";"+2.80"
"2024-12-13";"10539.02";"11356.37";"10539.02";"11267.52";"+6.91"
"2024-12-16";"11280.98";"11916.5";"11279.59";"11695.51";"+3.80"
"2024-12-17";"11695.54";"11974.52";"11529.17";"11920.83";"+1.93"
"2024-12-18";"11921.19";"12903.11";"11920.73";"12609.83";"+5.78"
"2024-12-19";"12609.83";"12776.88";"11641.17";"11766.61";"-6.69"
"2024-12-20";"11766.61";"12342.58";"11409.68";"11866.9";"+0.85"
"2024-12-23";"11870.77";"12041.2";"11521.91";"11560.55";"-2.58"
"2024-12-24";"11560.35";"11964.72";"11425.99";"11828.96";"+2.32"
"2024-12-25";"11828.92";"11846.13";"11828.31";"11844.45";"+0.13"
"2024-12-26";"11844.53";"11986.02";"10790.07";"10866.15";"-8.26"
"2024-12-27";"10866.15";"11249.14";"9826.57";"9868.35";"-9.18"
"2024-12-30";"9876.51";"11575.45";"9876.08";"11220.93";"+13.71"
"2024-12-31";"11220.66";"11790.07";"11146.5";"11502.94";"+2.51"
"2025-01-01";"11502.78";"11546.22";"11502.78";"11546.22";"+0.38"
"2025-01-02";"11546.28";"11723.49";"10804.14";"11205.49";"-2.95"
"2025-01-03";"11205.49";"11607.77";"11032.61";"11564.34";"+3.20"
"2025-01-06";"11569.09";"11859.86";"11068.09";"11186";"-3.27"
"2025-01-07";"11185.62";"11540.78";"11147.35";"11215.58";"+0.26"
"2025-01-08";"11215.86";"11281.45";"10341.42";"11172.7";"-0.38"
"2025-01-09";"11172.95";"11486.04";"10615.19";"10907.91";"-2.37"
"2025-01-10";"10907.91";"10978.9";"10519.33";"10562.51";"-3.17"
"2025-01-13";"10573.3";"11011.72";"10482.45";"10911.89";"+3.31"
"2025-01-14";"10911.82";"11117.87";"10760.37";"10921.76";"+0.09"
"2025-01-15";"10921.92";"11140.61";"10705.62";"10874.28";"-0.43"
