Date;Ouverture;Haut;Bas;Clôture;Changement, %
2013-01-02;3.6405;3.745;3.6405;3.7245;0.00
2013-01-03;3.7185;3.7315;3.6785;3.7015;-0.62
2013-01-04;3.6845;3.69;3.6785;3.6785;-0.62
2013-01-07;3.685;3.685;3.6425;3.663;-0.42
2013-01-08;3.662;3.6635;3.652;3.657;-0.16
2013-01-09;3.6825;3.6925;3.6535;3.6565;-0.01
2013-01-10;3.657;3.7;3.657;3.6945;+1.04
2013-01-11;3.6705;3.6745;3.6395;3.6395;-1.49
2013-01-14;3.6625;3.674;3.6195;3.6195;-0.55
2013-01-15;3.597;3.6235;3.597;3.623;+0.10
2013-01-16;3.593;3.6035;3.591;3.591;-0.88
2013-01-17;3.6325;3.65;3.6325;3.647;+1.56
2013-01-18;3.66;3.678;3.6525;3.6635;+0.45
2013-01-22;3.654;3.691;3.654;3.691;+0.75
2013-01-23;3.68;3.68;3.6685;3.671;-0.54
2013-01-24;3.658;3.675;3.652;3.6645;-0.18
2013-01-25;3.665;3.665;3.6335;3.6395;-0.68
2013-01-28;3.6375;3.66;3.6335;3.649;+0.26
2013-01-29;3.646;3.6775;3.646;3.6775;+0.78
2013-01-30;3.694;3.7405;3.694;3.74;+1.70
2013-01-31;3.753;3.753;3.7225;3.7235;-0.44
2013-02-01;3.731;3.7755;3.731;3.7755;+1.40
2013-02-04;3.767;3.767;3.7585;3.7585;-0.45
2013-02-05;3.7635;3.7685;3.7525;3.7615;+0.08
2013-02-06;3.7555;3.7555;3.7315;3.7335;-0.74
2013-02-07;3.74;3.74;3.7175;3.72;-0.36
2013-02-08;3.758;3.758;3.7525;3.7535;+0.90
2013-02-11;3.733;3.733;3.71;3.718;-0.95
2013-02-12;3.731;3.739;3.731;3.7365;+0.50
2013-02-13;3.75;3.75;3.73;3.734;-0.07
2013-02-14;3.7375;3.7375;3.73;3.73;-0.11
2013-02-15;3.7375;3.7375;3.721;3.731;+0.03
2013-02-19;3.705;3.705;3.6445;3.6445;-2.32
2013-02-20;3.62;3.62;3.597;3.6055;-1.07
2013-02-21;3.5455;3.5505;3.5455;3.5505;-1.53
2013-02-22;3.544;3.544;3.53;3.53;-0.58
2013-02-25;3.553;3.557;3.523;3.541;+0.31
2013-02-26;3.5165;3.5665;3.5165;3.5665;+0.72
2013-02-27;3.573;3.5775;3.5435;3.545;-0.60
2013-02-28;3.5555;3.581;3.525;3.5275;-0.49
2013-03-01;3.532;3.5365;3.454;3.4815;-1.30
2013-03-04;3.488;3.5045;3.468;3.483;+0.04
2013-03-05;3.502;3.5265;3.4965;3.4965;+0.39
2013-03-06;3.509;3.52;3.47;3.474;-0.64
2013-03-07;3.487;3.512;3.4785;3.5015;+0.79
2013-03-08;3.5005;3.51;3.485;3.4915;-0.29
2013-03-11;3.485;3.5035;3.465;3.5;+0.24
2013-03-12;3.505;3.55;3.49;3.538;+1.09
2013-03-13;3.539;3.55;3.5095;3.5095;-0.81
2013-03-14;3.5065;3.526;3.5;3.5235;+0.40
2013-03-15;3.53;3.53;3.5045;3.508;-0.44
2013-03-18;3.495;3.495;3.4;3.417;-2.59
2013-03-19;3.424;3.424;3.3805;3.3955;-0.63
2013-03-20;3.3865;3.4475;3.3865;3.4355;+1.18
2013-03-21;3.441;3.4765;3.4155;3.423;-0.36
2013-03-22;3.4435;3.4675;3.442;3.454;+0.91
2013-03-25;3.4705;3.471;3.43;3.435;-0.55
2013-03-26;3.455;3.459;3.4325;3.4325;-0.07
2013-03-27;3.4345;3.4495;3.416;3.435;+0.07
2013-03-28;3.4485;3.4485;3.3935;3.395;-1.16
2013-04-01;3.38;3.38;3.351;3.3675;-0.81
2013-04-02;3.36;3.372;3.355;3.372;+0.13
2013-04-03;3.35;3.36;3.32;3.3255;-1.38
2013-04-04;3.3005;3.358;3.3005;3.3455;+0.60
2013-04-05;3.3395;3.344;3.3325;3.34;-0.16
2013-04-08;3.3725;3.3725;3.3575;3.368;+0.84
2013-04-09;3.4;3.4455;3.395;3.438;+2.08
2013-04-10;3.421;3.425;3.411;3.414;-0.70
2013-04-11;3.401;3.4325;3.401;3.428;+0.41
2013-04-12;3.41;3.4195;3.3325;3.349;-2.30
2013-04-15;3.345;3.3465;3.2425;3.28;-2.06
2013-04-16;3.292;3.3065;3.292;3.3065;+0.81
2013-04-17;3.31;3.31;3.188;3.188;-3.58
2013-04-18;3.17;3.205;3.148;3.2045;+0.52
2013-04-19;3.1875;3.1875;3.148;3.1515;-1.65
2013-04-22;3.1385;3.1385;3.121;3.132;-0.62
2013-04-23;3.128;3.128;3.0685;3.094;-1.21
2013-04-24;3.1595;3.178;3.15;3.158;+2.07
2013-04-25;3.2295;3.253;3.2275;3.238;+2.53
2013-04-26;3.185;3.185;3.185;3.185;-1.64
2013-04-29;3.1765;3.241;3.151;3.2255;+1.27
2013-04-30;3.222;3.2445;3.1775;3.1875;-1.18
2013-05-01;3.187;3.187;3.051;3.0825;-3.29
2013-05-02;3.0705;3.134;3.0705;3.1045;+0.71
2013-05-03;3.1435;3.315;3.143;3.3135;+6.73
2013-05-06;3.296;3.324;3.2905;3.31;-0.11
2013-05-07;3.2925;3.3055;3.265;3.3005;-0.29
2013-05-08;3.302;3.39;3.302;3.371;+2.14
2013-05-09;3.355;3.355;3.318;3.3415;-0.88
2013-05-10;3.3445;3.3855;3.324;3.356;+0.43
2013-05-13;3.35;3.3755;3.3455;3.362;+0.18
2013-05-14;3.347;3.347;3.282;3.2905;-2.13
2013-05-15;3.2865;3.2865;3.2355;3.267;-0.71
2013-05-16;3.268;3.303;3.239;3.292;+0.77
2013-05-17;3.2825;3.326;3.2825;3.321;+0.88
2013-05-20;3.29;3.3645;3.29;3.357;+1.08
2013-05-21;3.367;3.371;3.333;3.339;-0.54
2013-05-22;3.3975;3.405;3.3635;3.3775;+1.15
2013-05-23;3.3;3.316;3.266;3.2995;-2.31
2013-05-24;3.295;3.301;3.2815;3.2915;-0.24
2013-05-28;3.3;3.331;3.297;3.3115;+0.61
2013-05-29;3.2725;3.291;3.2715;3.291;-0.62
2013-05-30;3.28;3.323;3.258;3.3105;+0.59
2013-05-31;3.3075;3.3115;3.2655;3.289;-0.65
2013-06-03;3.299;3.3325;3.2945;3.327;+1.16
2013-06-04;3.327;3.365;3.327;3.365;+1.14
2013-06-05;3.357;3.39;3.357;3.367;+0.06
2013-06-06;3.3585;3.3585;3.305;3.316;-1.51
2013-06-07;3.321;3.321;3.255;3.266;-1.51
2013-06-10;3.219;3.241;3.219;3.239;-0.83
2013-06-11;3.236;3.2445;3.177;3.193;-1.42
2013-06-12;3.181;3.225;3.1805;3.225;+1.00
2013-06-13;3.217;3.227;3.17;3.185;-1.24
2013-06-14;3.2105;3.2105;3.192;3.2045;+0.61
2013-06-17;3.234;3.234;3.19;3.202;-0.08
2013-06-18;3.1625;3.1625;3.152;3.157;-1.41
2013-06-19;3.164;3.165;3.129;3.1435;-0.43
2013-06-20;3.12;3.12;3.0445;3.0615;-2.61
2013-06-21;3.045;3.1025;3.0445;3.0965;+1.14
2013-06-24;3.0175;3.0485;3.0065;3.026;-2.28
2013-06-25;3.025;3.085;3.025;3.071;+1.49
2013-06-26;3.0385;3.065;3.0385;3.041;-0.98
