Date;Ouverture;Haut;Bas;Clôture;Changement, %
2018-06-07;76;77.25;75.81;77.18;0.00
2018-06-08;77.38;77.44;76.02;76.28;-1.17
2018-06-11;76.23;76.69;75.42;76.28;0.00
2018-06-12;76.37;76.92;75.35;75.35;-1.22
2018-06-13;75.26;76.71;75.12;76.34;+1.31
2018-06-14;76.41;76.72;75.56;75.75;-0.77
2018-06-15;75.75;75.84;72.84;72.88;-3.79
2018-06-18;72.87;75.17;72.22;75.06;+2.99
2018-06-19;74.94;75.17;74.12;74.64;-0.56
2018-06-20;74.86;75.44;73.81;73.88;-1.02
2018-06-21;74.16;74.34;72.74;72.86;-1.38
2018-06-22;73.08;75.56;73.08;75.55;+3.69
2018-06-25;74.06;74.96;73.59;74.73;-1.09
2018-06-26;74.66;76.53;73.95;76.43;+2.27
2018-06-27;76.41;77.98;76.11;77.19;+0.99
2018-06-28;77.25;78.15;77.05;77.44;+0.32
2018-06-29;77.48;79.5;77.13;79.17;+2.23
2018-07-02;78.4;78.88;77.11;77.33;-2.32
2018-07-03;77.37;78.44;76.57;77.75;+0.54
2018-07-04;77.74;78.12;77.53;77.96;+0.27
2018-07-05;77.91;78.38;77.23;77.47;-0.63
2018-07-06;77.53;77.56;76.28;77.06;-0.53
2018-07-09;77;78.22;76.97;78.11;+1.36
2018-07-10;78.19;79.39;78.04;78.91;+1.02
2018-07-11;78.62;78.62;73.02;74.1;-6.10
2018-07-12;73.86;75.06;72.7;74.45;+0.47
2018-07-13;74.23;75.87;73.26;74.84;+0.52
2018-07-16;75;75.3;71.53;71.97;-3.83
2018-07-17;71.97;72.81;71.35;71.72;-0.35
2018-07-18;71.81;73.33;71.3;73.09;+1.91
2018-07-19;72.97;73.81;71.9;72.65;-0.60
2018-07-20;72.76;73.51;72.37;73.06;+0.56
2018-07-23;73.29;74.59;72.75;73.27;+0.29
2018-07-24;73.31;74.34;72.98;74.01;+1.01
2018-07-25;74.15;74.69;73.47;74.49;+0.65
2018-07-26;74.98;75.3;74.32;74.96;+0.63
2018-07-27;75.07;75.4;74.37;74.88;-0.11
2018-07-30;74.86;75.81;74.66;75.51;+0.84
2018-07-31;75.53;75.65;73.88;74.1;-1.87
2018-08-01;74;74.11;72.22;72.66;-1.94
2018-08-02;72.51;73.78;71.91;73.44;+1.07
2018-08-03;73.42;73.8;72.56;73.41;-0.04
2018-08-06;73.28;74.56;73.27;73.75;+0.46
2018-08-07;73.73;75.03;73.69;74.62;+1.18
2018-08-08;74.74;75;71.83;72.39;-2.99
2018-08-09;72.37;73.02;72.03;72.1;-0.40
2018-08-10;72.15;73.28;71.57;73.09;+1.37
2018-08-13;73.04;73.24;71.2;72.97;-0.16
2018-08-14;73.01;74.11;72.35;72.39;-0.79
2018-08-15;72.42;72.65;70.53;70.97;-1.96
2018-08-16;70.88;71.71;70.64;71.57;+0.85
2018-08-17;71.6;72.68;71.46;71.97;+0.56
2018-08-20;71.88;72.91;71.6;72.46;+0.68
